bus,technology,parameter,value,unit,year,source,further_description,year_currency
BEWAL,battery,p_nom_min,286,MW,2025,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEWAL,battery,p_nom_min,410,MW,2030,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEWAL,battery,p_nom_min,410,MW,2040,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEWAL,battery,p_nom_min,410,MW,2050,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEVLG,battery,p_nom_min,250,MW,2025,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEVLG,battery,p_nom_min,1860,MW,2030,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEVLG,battery,p_nom_min,1860,MW,2040,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEVLG,battery,p_nom_min,1860,MW,2050,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEBRU,battery,p_nom_min,0,MW,2025,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEBRU,battery,p_nom_min,0,MW,2030,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEBRU,battery,p_nom_min,0,MW,2040,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEBRU,battery,p_nom_min,0,MW,2050,docs/belgium-batteries-20260818.md,Utility BESS floor; wired from input_parameters_for_models.csv,
BEVLG,offwind,p_nom_max,8000,MW,2025,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
BEVLG,offwind,p_nom_max,8000,MW,2030,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
BEVLG,offwind,p_nom_max,8000,MW,2040,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
BEVLG,offwind,p_nom_max,8000,MW,2050,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
DE,offwind,p_nom_max,70000,MW,2025,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
DE,offwind,p_nom_max,70000,MW,2030,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
DE,offwind,p_nom_max,70000,MW,2040,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
DE,offwind,p_nom_max,70000,MW,2050,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
FR,offwind,p_nom_max,45000,MW,2025,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
FR,offwind,p_nom_max,45000,MW,2030,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
FR,offwind,p_nom_max,45000,MW,2040,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
FR,offwind,p_nom_max,45000,MW,2050,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
GB,offwind,p_nom_max,80000,MW,2025,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
GB,offwind,p_nom_max,80000,MW,2030,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
GB,offwind,p_nom_max,80000,MW,2040,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
GB,offwind,p_nom_max,80000,MW,2050,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
NL,offwind,p_nom_max,50000,MW,2025,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
NL,offwind,p_nom_max,50000,MW,2030,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
NL,offwind,p_nom_max,50000,MW,2040,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
NL,offwind,p_nom_max,50000,MW,2050,atlite offshore raster unusable in the southern North Sea - see docs/renewable-potentials-analysis.md,Long-run technical ceiling; the per-horizon envelope comes from agg_p_nom_minmax offwind-all,
BEWAL,gas storage,e_nom_max,0,MWh,2025,"Anderlues + Peronnes-lez-Binche closed 01/11/2012 (AM 06/12/2012); no salt-cavern geology in Wallonia","No underground gas store exists in Wallonia; the PyPSA-Eur gas Store is unbounded by default. Loenhout (BEVLG) is unaffected.",
BEWAL,gas storage,e_nom_max,0,MWh,2030,"Anderlues + Peronnes-lez-Binche closed 01/11/2012 (AM 06/12/2012); no salt-cavern geology in Wallonia","No underground gas store exists in Wallonia; the PyPSA-Eur gas Store is unbounded by default. Loenhout (BEVLG) is unaffected.",
BEWAL,gas storage,e_nom_max,0,MWh,2040,"Anderlues + Peronnes-lez-Binche closed 01/11/2012 (AM 06/12/2012); no salt-cavern geology in Wallonia","No underground gas store exists in Wallonia; the PyPSA-Eur gas Store is unbounded by default. Loenhout (BEVLG) is unaffected.",
BEWAL,gas storage,e_nom_max,0,MWh,2050,"Anderlues + Peronnes-lez-Binche closed 01/11/2012 (AM 06/12/2012); no salt-cavern geology in Wallonia","No underground gas store exists in Wallonia; the PyPSA-Eur gas Store is unbounded by default. Loenhout (BEVLG) is unaffected.",
