technology,hurdle_sector,times_pset_set,note
direct firing gas,industry,IND-process,
direct firing gas CC,industry,IND-process,
direct firing solid fuels,industry,IND-process,
direct firing solid fuels CC,industry,IND-process,
dry bulk carrier Capesize,transport,TRA-processes,
electric arc furnace,industry,IND-process,
electric arc furnace with hbi and scrap,industry,IND-process,
electric boiler steam,industry,IND-process,
electric steam cracker,industry,IND-process,
electricity distribution grid,power,ELC-PUB,
electricity grid connection,power,ELC-PUB,
electrobiofuels,supply,SUP-processes,
electrolysis,supply,SUP-processes,
electrolysis small,supply,SUP-processes,
ethanol carbon capture retrofit,industry,IND-process,
ethanol from starch crop,supply,SUP-processes,
ethanol from sugar crops,supply,SUP-processes,
FCV Bus city,transport,TRA-processes,
FCV Coach,transport,TRA-processes,
FCV Truck Semi-Trailer max 50 tons,transport,TRA-processes,
FCV Truck Solo max 26 tons,transport,TRA-processes,
FCV Truck Trailer max 56 tons,transport,TRA-processes,
Fischer-Tropsch,supply,SUP-processes,
FT fuel transport ship,transport,TRA-processes,
fuel cell,power,ELC-PUB,
fuelwood,supply,SUP-processes,
gas,supply,SUP-processes,
gas boiler steam,industry,IND-process,
gas storage,supply,SUP-processes,
gas storage charger,supply,SUP-processes,
gas storage discharger,supply,SUP-processes,
Gasnetz,supply,SUP-processes,
General liquid hydrocarbon storage (crude),supply,SUP-processes,
General liquid hydrocarbon storage (product),supply,SUP-processes,
geothermal,power,ELC-PUB,
Gravity-Brick-bicharger,power,ELC-PUB,
Gravity-Brick-store,power,ELC-PUB,
Gravity-Water-Aboveground-bicharger,power,ELC-PUB,
Gravity-Water-Aboveground-store,power,ELC-PUB,
Gravity-Water-Underground-bicharger,power,ELC-PUB,
Gravity-Water-Underground-store,power,ELC-PUB,
grey methanol synthesis,supply,SUP-processes,
H2,none,,storage aggregate; capital_cost summed from components
H2 (g) fill compressor station,supply,SUP-processes,
H2 (g) pipeline,supply,SUP-processes,
H2 (g) pipeline repurposed,supply,SUP-processes,
H2 (g) submarine pipeline,supply,SUP-processes,
H2 (g) submarine pipeline repurposed,supply,SUP-processes,
H2 (l) storage tank,supply,SUP-processes,
H2 (l) transport ship,transport,TRA-processes,
H2 evaporation,supply,SUP-processes,
H2 liquefaction,supply,SUP-processes,
H2 pipeline,supply,SUP-processes,
H2 production biomass gasification,supply,SUP-processes,
H2 production biomass gasification CC,supply,SUP-processes,
H2 production coal gasification,supply,SUP-processes,
H2 production coal gasification CC,supply,SUP-processes,
H2 production heavy oil partial oxidation,supply,SUP-processes,
H2 production natural gas steam reforming,supply,SUP-processes,
H2 production natural gas steam reforming CC,supply,SUP-processes,
H2 production solid biomass steam reforming,supply,SUP-processes,
Haber-Bosch,supply,SUP-processes,
helmeth,supply,SUP-processes,
HighT-Molten-Salt-charger,power,ELC-PUB,
HighT-Molten-Salt-discharger,power,ELC-PUB,
HighT-Molten-Salt-store,power,ELC-PUB,
home battery inverter,power,ELC-PUB,ELC-PUB: no ALL-BAT group in ~TFM_INS — D5
home battery storage,power,ELC-PUB,ELC-PUB: no ALL-BAT group in ~TFM_INS; batteries follow the electricity rate — D5
HVAC overhead,power,ELC-PUB,
HVAC submarine,power,ELC-PUB,
HVAC underground,power,ELC-PUB,
HVDC inverter pair,power,ELC-PUB,
HVDC overhead,power,ELC-PUB,
HVDC submarine,power,ELC-PUB,
HVDC underground,power,ELC-PUB,
hydro,power,ELC-PUB,
hydrogen direct iron reduction furnace,industry,IND-process,
Hydrogen fuel cell (passenger cars),transport,TRA-processes,
Hydrogen fuel cell (trucks),transport,TRA-processes,
hydrogen storage compressor,supply,SUP-processes,
hydrogen storage tank type 1,supply,SUP-processes,
hydrogen storage tank type 1 including compressor,supply,SUP-processes,
hydrogen storage underground,supply,SUP-processes,
Hydrogen-charger,power,ELC-PUB,
Hydrogen-discharger,power,ELC-PUB,
Hydrogen-store,power,ELC-PUB,
industrial heat pump high temperature,industry,IND-process,
industrial heat pump medium temperature,industry,IND-process,
iron ore DRI-ready,industry,IND-process,
iron-air,none,,storage aggregate; capital_cost summed from components
iron-air battery,power,ELC-PUB,
iron-air battery charge,power,ELC-PUB,
iron-air battery discharge,power,ELC-PUB,
lair,none,,storage aggregate; capital_cost summed from components
Lead-Acid-bicharger,power,ELC-PUB,
Lead-Acid-store,power,ELC-PUB,
lfp,none,,storage aggregate; capital_cost summed from components
li-ion,none,,storage aggregate; capital_cost summed from components
lignite,power,ELC-PUB,
Liquid fuels ICE (passenger cars),transport,TRA-processes,
Liquid fuels ICE (trucks),transport,TRA-processes,
Liquid-Air-charger,power,ELC-PUB,
Liquid-Air-discharger,power,ELC-PUB,
Liquid-Air-store,power,ELC-PUB,
Lithium-Ion-LFP-bicharger,power,ELC-PUB,
Lithium-Ion-LFP-store,power,ELC-PUB,
Lithium-Ion-NMC-bicharger,power,ELC-PUB,
Lithium-Ion-NMC-store,power,ELC-PUB,
LNG storage tank,supply,SUP-processes,
LOHC chemical,supply,SUP-processes,
LOHC dehydrogenation,supply,SUP-processes,
LOHC dehydrogenation (small scale),supply,SUP-processes,
LOHC hydrogenation,supply,SUP-processes,
LOHC loaded DBT storage,supply,SUP-processes,
LOHC transport ship,transport,TRA-processes,
LOHC unloaded DBT storage,supply,SUP-processes,
LowT-Molten-Salt-charger,power,ELC-PUB,
LowT-Molten-Salt-discharger,power,ELC-PUB,
LowT-Molten-Salt-store,power,ELC-PUB,
MeOH transport ship,transport,TRA-processes,
methanation,supply,SUP-processes,
methane storage tank incl. compressor,supply,SUP-processes,
methanol,supply,SUP-processes,
Methanol steam reforming,supply,SUP-processes,
methanol-to-kerosene,supply,SUP-processes,
methanol-to-olefins/aromatics,supply,SUP-processes,
methanolisation,supply,SUP-processes,
micro CHP,chp,ALL-CHP,"ALL-CHP: TIMES rates every CHP at 0.075, not at the sector rate of the building it sits in"
natural gas direct iron reduction furnace,industry,IND-process,
NH3 (l) storage tank incl. liquefaction,supply,SUP-processes,
NH3 (l) transport ship,transport,TRA-processes,
Ni-Zn-bicharger,power,ELC-PUB,
Ni-Zn-store,power,ELC-PUB,
nuclear,power,ELC-PUB,
nuclear retrofit,power,ELC-PUB,
OCGT,power,ELC-PUB,
offwind,power,ELC-PUB,
offwind-ac-connection-submarine,power,ELC-PUB,
offwind-ac-connection-underground,power,ELC-PUB,
offwind-ac-station,power,ELC-PUB,
offwind-dc-connection-submarine,power,ELC-PUB,
offwind-dc-connection-underground,power,ELC-PUB,
offwind-dc-station,power,ELC-PUB,
offwind-float,power,ELC-PUB,
offwind-float-connection-submarine,power,ELC-PUB,
offwind-float-connection-underground,power,ELC-PUB,
offwind-float-station,power,ELC-PUB,
oil,power,ELC-PUB,
onwind,power,ELC-PUB,
organic rankine cycle,power,ELC-PUB,
pair,none,,storage aggregate; capital_cost summed from components
PEM electrolyzer small size,supply,SUP-processes,
PHS,power,ELC-PUB,
Pumped-Heat-charger,power,ELC-PUB,
Pumped-Heat-discharger,power,ELC-PUB,
Pumped-Heat-store,power,ELC-PUB,
Pumped-Storage-Hydro-bicharger,power,ELC-PUB,
Pumped-Storage-Hydro-store,power,ELC-PUB,
ror,power,ELC-PUB,
Sand-charger,power,ELC-PUB,
Sand-discharger,power,ELC-PUB,
Sand-store,power,ELC-PUB,
seawater desalination,supply,SUP-processes,
seawater RO desalination,supply,SUP-processes,
shipping fuel methanol,transport,TRA-processes,
SMR,supply,SUP-processes,
SMR CC,supply,SUP-processes,
SOEC,supply,SUP-processes,
solar,none,,capital_cost cloned from solar-utility (process_cost_data.py:186)
solar-hsat,pv,ALL-PV,ALL-PV
solar-rooftop,pv,ALL-PV,ALL-PV: TIMES rates every PV plant at 0.075 whatever the roof it is on
solar-rooftop commercial,pv,ALL-PV,ALL-PV
solar-rooftop residential,pv,ALL-PV,ALL-PV
solar-utility,pv,ALL-PV,ALL-PV
solid biomass,supply,SUP-processes,
solid biomass boiler steam,industry,IND-process,
solid biomass boiler steam CC,industry,IND-process,
solid biomass to hydrogen,supply,SUP-processes,
Steam methane reforming,supply,SUP-processes,
steel carbon capture retrofit,industry,IND-process,
"Tank&bulk, diesel",transport,TRA-processes,
"Tank&bulk, methanol",transport,TRA-processes,
"Tankbulk, ammonia",transport,TRA-processes,
uranium,supply,SUP-processes,
vanadium,none,,storage aggregate; capital_cost summed from components
Vanadium-Redox-Flow-bicharger,power,ELC-PUB,
Vanadium-Redox-Flow-store,power,ELC-PUB,
waste,none,,capital_cost cloned from waste CHP (process_cost_data.py:175)
waste CHP,chp,ALL-CHP,
waste CHP CC,chp,ALL-CHP,
water tank charger,supply,SUP-processes,
water tank discharger,supply,SUP-processes,
Zn-Air-bicharger,power,ELC-PUB,
Zn-Air-store,power,ELC-PUB,
Zn-Br-Flow-bicharger,power,ELC-PUB,
Zn-Br-Flow-store,power,ELC-PUB,
Zn-Br-Nonflow-bicharger,power,ELC-PUB,
Zn-Br-Nonflow-store,power,ELC-PUB,
